id,generation,emotion,source,target
03400,20s,긍정,오늘 완전 갓생 살고 온 느낌 ㄴㅇㄱ! 인생샷도 건지고 꿀템도 발견했어.,"오늘 정말 멋진 하루를 보낸 기분이야! 인생의 좋은 사진도 찍고, 유용한 물건도 찾았어."
03401,10s,긍정,"어제 친구들이랑 감성샷 찍으러 갔는데 완전 존잼이었어, 나 심쿵했잖아!","어제 친구들과 감성적인 사진을 찍으러 갔는데 정말 재미있었어, 나 완전 설렜잖아!"
03402,10s,긍정,"이번 주말에 친구들하고 랜선모임 하기로 했는데, 진짜 꿀잼일 듯!","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 정말 재미있을 것 같아요!"
03403,20s,긍정,"요즘 인스타 감성샷 찍는 거 진짜 꿀잼이야, 완소남이랑 같이 찍으면 더 재밌더라!",요즘 인스타그램에서 감성적인 사진 찍는 것이 정말 재미있어요. 좋아하는 남자친구와 함께 찍으면 더 즐거워요!
03404,20s,긍정,"요즘 나도 갓생 살고 싶어서 혼코노 자주 가는데, 진짜 꿀잼이더라 ㅋㅋ","요즘 나도 알찬 삶을 살고 싶어서 혼자 노래방에 자주 가는데, 진짜 재미있더라."
03405,20s,긍정,오늘은 혼코노 하면서 갓생 살기 완전 꿀잼이야! ㅋㅋ,오늘은 혼자 노래를 부르면서 의미 있는 시간을 보내는 게 정말 재미있어!
03406,20s,부정,"오늘은 감성샷 찍으러 카페 갔는데, 갑분싸 되는 바람에 너무 아쉬웠어 ㅠㅠ","오늘은 감성 사진을 찍으러 카페에 갔는데, 분위기가 갑자기 아쉬워져서 정말 안타까웠어."
03407,20s,긍정,오늘 완소남과 감성샷 찍고 올리는 게 너무 꿀잼이었어!,오늘 좋은 친구와 감성적인 사진을 찍고 올리는 것이 정말 재미있었어!
03408,20s,긍정,"어제 친구들이랑 랜선모임 했는데, 진짜 꿀잼이라서 시간 가는 줄 몰랐어 ㅋㅋ.","어제 친구들과 온라인 모임을 했는데, 정말 재미있어서 시간 가는 줄 몰랐어요."
03409,10s,긍정,"오늘 혼영하면서 꿀잼 영화 찾았는데, 진짜 존맛탱이네!","오늘 혼자 영화를 보면서 재미있는 영화를 찾았는데, 정말 맛있네요!"
03410,20s,긍정,"오늘 친구랑 혼술했는데, 꿀잼이라서 갑분띠로 분위기 폭발했어!","오늘 친구와 혼자 술을 마셨는데, 아주 재밌어서 갑자기 분위기가 폭발했어요!"
03411,20s,중립,"오늘 감성샷 찍으러 갔는데 갑분싸 될 뻔했어, ㅎㅎ",오늘 감성적인 사진을 찍으러 갔는데 분위기가 갑자기 썰렁해질 뻔했어.
03412,20s,긍정,"요즘 너무 바빠서 갓생 살고 있는데, 가끔은 친구들이랑 감성샷 찍으러 가고 싶어 ㅎㅎ","요즘 너무 바빠서 좋은 삶을 살고 있는데, 가끔은 친구들이랑 감성 있는 사진을 찍으러 가고 싶어."
03413,20s,긍정,"이번 주 정말 내돈내산 갓생으로 보냈어, 감성샷 올리니까 친구들이 GG 치더라.","이번 주 정말 내가 돈을 들여서 보낸 삶으로 보냈어, 감성적인 사진을 올리니까 친구들이 좋다고 하더라."
03414,20s,긍정,"오늘도 감성샷 찍으러 카페 가는데, 진짜 갓벽한 조명이라서 기분이 꿀잼이야!","오늘도 감성적인 사진을 찍으러 카페에 가는데, 정말 완벽한 조명이라서 기분이 아주 좋네요!"
03415,20s,긍정,오늘 감성샷 찍으러 간다니까 ㄴㅇㄱ? 완전 존맛탱일 것 같아!,오늘 감성 사진을 찍으러 간다고 하니까 오해하지 않나요? 정말 맛있을 것 같아요!
03416,20s,긍정,"요즘 사람들 다 감성샷 찍는데, 나도 혼코노 하면서 인생샷 건져봤어.","요즘 사람들은 모두 감성적인 사진을 찍는데, 나도 혼자서 노래를 부르며 좋은 사진을 한 장 찍어봤어요."
03417,20s,긍정,"이번 주말에 랜선으로 친구들이랑 모임하는데, 꿀잼 예상해봐도 괜찮겠지?","이번 주말에 친구들과 온라인 모임을 하는데, 재미있을 것 같아도 괜찮겠지?"
03418,20s,긍정,"오늘 친구랑 혼코노 했는데, 진짜 꿀잼이었어! 음료수도 시키고 감성샷도 많이 찍었지.","오늘 친구와 노래방에 갔는데, 정말 재미있었어! 음료수도 주문하고 감성적인 사진도 많이 찍었지."
03419,20s,긍정,"이번 주말에는 친구들이랑 혼술하면서 꿀템으로 감성샷 찍으러 갈 거야, 완전 존잼일 듯!","이번 주말에는 친구들과 함께 혼자 술 마시면서 좋은 아이템으로 감성 있는 사진을 찍으러 갈 거예요, 정말 재미있을 것 같아요!"
03420,20s,부정,"오늘 친구들이랑 노래방 갔는데, 감성샷 찍으려고 했는데 갑분싸라서 그냥 뻘하다가 왔어.","오늘 친구들과 노래방에 갔는데, 분위기를 맞추려고 했지만 갑자기 어색해져서 그냥 아무것도 하지 않고 돌아왔어요."
03421,10s,긍정,오늘 친구들이랑 카페 가는데 감성샷 찍는다고 분위기 ㄴㅇㄱ하면서 엄청 쪼꼬미로 나왔어!,오늘 친구들과 카페에 가는데 감성 있는 사진을 찍으려고 분위기를 맞추면서 아주 귀엽게 나왔어!
03422,10s,긍정,"오늘 친구들이랑 놀았는데, 꿀잼이라 시간이 어떻게 간 줄도 몰랐어! 진짜 레전드다.","오늘 친구들과 함께 놀았는데, 정말 재미있어서 시간이 어떻게 지나갔는지 모르겠어요! 진짜 훌륭했어요."
03423,20s,긍정,"이번 주말에 친구들이랑 혼술하면서 꿀템 찾기할 건데, 너도 어사 올래?","이번 주말에 친구들과 함께 혼자 술을 마시면서 좋은 물건을 찾으려고 하는데, 너도 함께 올래?"
03424,10s,긍정,"어제 놀다가 갑분싸 됐는데, 그래도 감성샷은 찍었어! ㅎㅎ","어제 놀다가 분위기가 갑자기 싸해졌지만, 그래도 감성적인 사진은 찍었어! ㅎㅎ"
03425,20s,부정,엄청난 감성샷 건지고 갑분싸 되는 상황이었어ㅋㅋ,아주 멋진 감성 사진을 찍었는데 갑자기 분위기가 싸해지는 상황이었어.
03426,20s,긍정,오늘 진짜 개이득으로 갓생 제대로 사는 중! 감성샷 찍고 피드에 올리니까 ㅇㅈ이지?,오늘 정말로 큰 이득을 얻으면서 잘 살고 있어! 감성적인 사진을 찍어서 내 피드에 올리니까 사람들이 인정해줘?
03427,20s,긍정,요즘 나의 갓생을 위해서 GG해야 할 것 같아.,요즘 나의 바람직한 삶을 위해서 잘해야 할 것 같아.
03428,20s,긍정,"오늘 친구들하고 랜선모임 했는데, 완전 꿀잼이었어! ㅎㅎ","오늘 친구들과 온라인 모임을 했는데, 정말 재미있었어요!"
03429,20s,긍정,오늘은 갓생 살면서 감성샷 찍으러 나가야겠다! ㅎㅎ,오늘은 멋진 삶을 살면서 감성적인 사진을 찍으러 나가야겠다!
03430,20s,긍정,"오늘은 친구랑 감성샷 찍으러 갔는데, 진짜 꿀템 발견해서 너무 좋았어! ㅇㅈ이지?","오늘 친구와 함께 감성적인 사진을 찍으러 갔는데, 정말 좋은 아이템을 발견해서 매우 좋았어! 그거 맞지?"
03431,20s,긍정,오늘은 혼밥하면서 감성폭발하는 중~ 근데 진짜 존맛탱인 떡볶이 찾았다!,오늘 혼자 밥을 먹으며 너무 감정이 풍부한 시간을 보내고 있어요~ 그런데 정말 맛있는 떡볶이를 발견했어요!
03432,20s,부정,"내가 요즘 겁나 갓생 사는 중인데, 감성샷 찍으려고 갔더니 갑분싸네.","최근에 내가 정말 열심히 살고 있는데, 감성 있는 사진을 찍으러 갔더니 분위기가 갑자기 싸해졌어."
03433,20s,긍정,"오늘 날씨 완전 감성폭발이라서 친구들랑 감성샷 찍으러 갔는데, 완소남이 있어서 모든 게 존잼이었어.","오늘 날씨가 정말 좋았기 때문에 친구들과 멋진 사진을 찍으러 갔는데, 마음에 드는 사람이 있어서 모든 것이 재미있었어요."
03434,20s,긍정,"이번 주말에 친구들이랑 랜선모임 할 건데, 존잼 기대된다!","이번 주말에 친구들과 온라인 모임을 할 건데, 정말 재미있을 것 같다!"
03435,20s,긍정,"오늘은 갓생 살면서 감성샷 제대로 건져야지, ㅇㅈ?","오늘은 멋진 인생을 살면서 감성적인 사진을 제대로 찍어야지, 그렇지?"
03436,20s,긍정,"이번 주말에 친구들이랑 랜선모임 하기로 했는데, 감성폭발하는 시간 될 것 같아!","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 감정적으로 매우 즐거운 시간이 될 것 같아!"
03437,20s,부정,"오늘도 그냥 감성샷만 찍고, 혼술하면서 현타 왔어.","오늘도 그냥 감성을 담은 사진만 찍고, 혼자 술을 마시면서 허탈한 기분이 들었어."
03438,20s,긍정,"오늘은 꿀템을 사서 엄청 좋은 감성샷 건질 수 있었던 날이야, 진짜 갓생이네!",오늘은 좋은 물건을 사서 정말 멋진 사진을 찍을 수 있었던 날이에요. 정말 멋진 하루였어요!
03439,10s,중립,"어제 친구들이랑 놀다가 갑분싸돼서 그냥 인생샷 찍고 왔어, 미쳤다.","어제 친구들과 놀다가 분위기가 갑자기 어색해져서 그냥 인생 사진을 찍고 왔어, 정말 대단해."
03440,20s,긍정,"오늘은 혼술하며 인생샷 찍으러 가야지, 인스타 감성폭발할 듯! ㅎㅎ","오늘은 혼자 술을 마시면서 인생 사진을 찍으러 가야겠어, 인스타그램에서 감성이 가득할 것 같아. ㅎㅎ"
03441,20s,긍정,"어제 친구랑 랜선 모임 하면서 GG라고 할 수밖에 없었어, 진짜 꿀잼이었어!","어제 친구와 온라인 모임을 하면서 더 이상 할 말이 없었어, 정말 재미있었어!"
03442,20s,긍정,오늘 완소남이랑 감성샷 찍었는데 진짜 미쳤다!,오늘 좋아하는 남자와 함께 감성적인 사진을 찍었는데 정말 좋았어요!
03443,20s,긍정,"오늘은 감성샷 좀 찍어야겠다, ㅇㅈ? 카페에서 혼술하며 힐링타임 즐겨야징.","오늘은 감성적인 사진 몇 장 찍어야겠다, 그렇지? 카페에서 혼자 술 한잔하며 힐링하는 시간을 가져야겠다."
03444,20s,부정,"이번 주말에 친구들이랑 혼술하면서 감성샷 올릴 생각인데, 솔까말 걱정돼서 현타 온다.","이번 주말에 친구들과 혼자 술을 마시면서 감성을 담은 사진을 올릴 생각인데, 솔직히 걱정이 돼서 멘붕이 온다."
03445,20s,부정,"그 영상 진짜 꿀잼이었는데, 나도 갑분싸 되니까 너무 아쉬워!","그 영상 정말 재미있었는데, 저도 갑자기 분위기가 싸해져서 너무 아쉬워요!"
03446,10s,긍정,어제 친구랑 카페 갔는데 감성폭발 하는 인생샷 찍었어! ㅇㅈ?,어제 친구와 카페에 갔는데 감정이 폭발할 정도로 멋진 사진을 찍었어요! 맞죠?
03447,20s,긍정,요즘 친구들이랑 랜선 모임 할 때마다 감성샷 찍는 재미가 쏠쏠해.,요즘 친구들과 온라인 모임을 할 때마다 감성적인 사진을 찍는 재미가 쏠쏠하다.
03448,10s,긍정,"이번 주말에 친구들이랑 랜선모임 하는데, 존맛탱인 배달 음식을 시킬 거라 꿀잼 보장임!","이번 주말에 친구들과 온라인 모임을 하는데, 정말 맛있는 배달 음식을 시킬 예정이라 재미있을 것 같습니다!"
03449,20s,긍정,오늘 저녁에 자만추로 영화 보러 갈래? 완소남이랑 같이 가면 꿀잼일 듯!,오늘 저녁에 자연스럽게 영화 보러 갈래? 매력적인 사람과 함께 가면 재밌을 것 같아!
03450,20s,긍정,"내가 최근에 갓벽한 감성샷 찍었는데, 친구가 ㅇㅈ한다고 하더라구.","내가 최근에 정말 멋진 감성 사진을 찍었는데, 친구가 인정하더라."
03451,10s,부정,오늘 내 감성샷 찍으러 갔는데 진짜 갑분싸였어 ㅋㅋ,오늘 감성 사진을 찍으러 갔는데 정말 분위기가 갑자기 싸해졌어.
03452,20s,부정,"요즘 감성샷 찍으러 카페 갔는데, 친구가 갑분싸 만들어서 미쳤다.","요즘 감성적인 사진을 찍으러 카페에 갔는데, 친구가 분위기를 망쳐서 정말 짜증났어요."
03453,10s,긍정,"오늘 촬영한 감성샷이 존맛탱인데, 너도 나중에 인생샷 찍으러 가자!","오늘 촬영한 감성적인 사진이 정말 맛있어 보이는데, 너도 나중에 인생사진 찍으러 가자!"
03454,20s,부정,주말에 친구들이랑 갬성샷 찍으러 갔다가 갑분싸 되는 바람에 너무 빡겜했어.,주말에 친구들과 감성적인 사진을 찍으러 갔다가 분위기가 갑자기 싸해져서 너무 힘들었어.
03455,20s,부정,"오늘 감성샷 찍으러 갔는데, 갑자기 비와서 완전 갑분싸였어.","오늘 감성 사진을 찍으러 갔는데, 갑자기 비가 와서 분위기가 완전히 망쳤어요."
03456,20s,긍정,"이번 주말에 친구들이랑 스불재 하면서 꿀잼 영화를 찾아서 인생샷도 찍으려고 해, ㅇㅈ?","이번 주말에 친구들과 함께 즐거운 시간을 보내며 재미있는 영화를 찾아서 멋진 사진도 찍으려고 해, 그렇지?"
03457,20s,긍정,요즘 인생샷 찍는 게 국룰이지 ㅋㅋ 근데 감성폭발하는 순간이 있어야 진짜 ㅇㅈ이지!,요즘 인생 사진을 찍는 것이 기본 규칙이지. 그런데 감성이 폭발하는 순간이 있어야 진짜 인정이야!
03458,20s,긍정,"이번 주말에 친구랑 혼술하고 댕청하게 놀기로 했는데, 진짜 꿀잼일 듯!","이번 주말에 친구와 함께 술을 마시고 즐겁게 놀기로 했는데, 정말 재미있을 것 같아요!"
03459,20s,중립,"이번 주 금요일에 친구들과 랜선모임 할 건데, 기대되면서도 갑분싸 되는 거 아냐? ㅇㅈ?","이번 주 금요일에 친구들과 온라인 모임을 할 건데, 기대되면서도 갑자기 분위기가 싸해지지 않을까 걱정돼."
03460,20s,긍정,"어제 그 예쁜 카페에서 감성샷 찍었는데, 진짜 갓벽했던 데뷔 무대 같았어! ㅇㅈ?","어제 그 예쁜 카페에서 감성 사진을 찍었는데, 정말 완벽했던 데뷔 무대 같았어! 그렇지?"
03461,20s,긍정,"오늘은 갓생 살려고 헬스 가는 중인데, ㄴㅇㄱ, 다들 운동하고 있겠지?","오늘은 좋은 삶을 살려고 헬스장 가는 중인데, 당신들은 운동하고 있겠죠?"
03462,20s,긍정,"오늘은 정말 감성샷 찍으러 나갈 건데, 너도 ㄴㅇㄱ?","오늘은 정말 감성 사진을 찍으러 나갈 건데, 너도 같이 할래?"
03463,20s,긍정,"이번 주말에 친구들이랑 랜선모임 하는데, 너무 기대돼서 감성샷 각 잡고 준비 중이야 ㅎㅎ","이번 주말에 친구들과 온라인 모임을 하는데, 너무 기대돼서 감성 있는 사진을 준비하고 있어요."
03464,10s,긍정,오늘은 꿀잼인 카페 가서 감성샷 찍어야지 ㅎㅎ,오늘은 재미있는 카페에 가서 감성 있는 사진을 찍어야지.
03465,20s,부정,"요즘 자꾸 현타 오는데, 킹받네 진짜 ㅋㅋ 여름휴가가 너무 멀어!","요즘 자꾸 현실적인 답답함이 느껴지는데, 정말 화가 납니다 ㅋㅋ 여름휴가가 너무 멀어요!"
03466,20s,긍정,"오늘 친구랑 감성샷 찍으러 갔는데, 진짜 갓벽한 날씨라서 너무 좋았어! ㅇㅈ이지?","오늘 친구와 감성 사진을 찍으러 갔는데, 정말 완벽한 날씨여서 너무 좋았습니다. 그렇죠?"
03467,20s,긍정,"오늘은 혼술하면서 꿀잼 영화 봤는데, 그렇게 감성샷 남기고 싶더라.","오늘 혼술을 하면서 재미있는 영화를 봤는데, 그렇게 감성적인 사진을 남기고 싶더라."
03468,20s,부정,"내일 시험인데 감성샷 찍으러 나가고 싶다, 그냥 현타 온다.",내일 시험인데 감성적인 사진을 찍으러 나가고 싶다. 그냥 기분이 우울해진다.
03469,20s,긍정,"오늘 날씨 완전 감성폭발이네, 공원에서 친구들이랑 꿀템으로 소확행 중이야!","오늘 날씨가 정말 좋네요, 공원에서 친구들과 함께 좋은 시간을 보내고 있어요!"
03470,20s,긍정,"오늘 진짜 감성샷 폭발하는 날이야, ㄴㅇㄱ?","오늘 정말 감성적인 사진을 찍기 좋은 날이야, 맞지?"
03471,20s,부정,오늘의 감성샷 찍으러 갔는데 갑분싸네.,오늘 감성 사진을 찍으러 갔는데 분위기가 갑자기 싸해졌어.
03472,20s,긍정,"요즘 내 갓생이 너무 꿀템이야, 심지어 친구들이랑 랜선모임도 자주 하는데 진짜 꿀잼이야!",요즘 내 삶이 매우 좋은 것 같아요. 심지어 친구들과 온라인 모임도 자주 하는데 정말 재미있습니다!
03473,20s,긍정,"오늘도 갓생 살면서 꿀템 쇼핑 중, 진짜 이거는 감성폭발이야!","오늘도 좋은 삶을 살면서 좋은 상품 쇼핑 중인데, 정말 이거는 감정이 폭발할 정도예요!"
03474,20s,긍정,오늘은 완전 갓벽한 날이라 감성폭발할 것 같은 기분이야! ㅇㅈ?,오늘은 정말 완벽한 날이라 감정이 폭발할 것 같은 기분이에요! 그렇죠?
03475,20s,긍정,어제 친구랑 감성샷 찍으러 갔는데 갓생을 살고 있는 기분이더라 ㅎㅎ,"어제 친구와 감성 있는 사진을 찍으러 갔는데, 갓생을 살고 있는 기분이더라."
03476,10s,긍정,"이번 주말에 친구들이랑 랜선모임 할 건데, 감성샷 찍고 꿀템도 같이 소개해줘야지.","이번 주말에 친구들과 온라인 모임을 할 건데, 감성 있는 사진도 찍고 좋은 물건도 함께 소개해야겠다."
03477,20s,긍정,오늘도 혼밥하면서 존맛탱인 피자 먹으니까 킹받네.,오늘도 혼자 밥을 먹으면서 정말 맛있는 피자를 먹으니까 기분이 좋네요.
03478,10s,긍정,"오늘 친구랑 만나서 감성샷 찍었는데, 진짜 존맛탱이었어!","오늘 친구와 만나서 감성적인 사진을 찍었는데, 정말 맛있었어!"
03479,20s,부정,"오늘 혼자서 감성샷 찍으러 갔는데, 갑분싸 되는 바람에 ㅋㅋ 그냥 집에서 넷플릭스나 보려고.","오늘 혼자 감성 사진을 찍으러 갔는데, 갑자기 분위기가 싸해져서 그냥 집에서 넷플릭스나 보려고 해."
03480,20s,긍정,"오늘도 카페에서 감성샷 찍으면서 존맛탱 음료 마셨는데, 너무 행복해 ㅎㅎ.","오늘도 카페에서 감성적인 사진을 찍으면서 정말 맛있는 음료를 마셨는데, 너무 행복해요."
03481,20s,긍정,"오늘 감성폭발하는 사진 찍어봤는데, ㄴㅇㄱ 해줘~","오늘 감정이 폭발하는 사진을 찍어봤는데, 반응해줘~"
03482,10s,긍정,"이번 주말에 친구들이랑 랜선 모임 하기로 했는데, 꿀잼 기대된다!","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 재미있을 것 같다!"
03483,10s,긍정,"이번 주말에 친구들이랑 랜선으로 만나서 꿀잼 영화 한 편 보려고 하는데, 너무 기대돼 ㅎㅎ","이번 주말에 친구들과 온라인으로 만나서 재미있는 영화를 한 편 보려고 하는데, 너무 기대돼요."
03484,20s,긍정,"오늘 감성폭발하는 인생샷 찍었는데, 진짜 갓벽한데? ㅇㅈ?","오늘 정말 기분이 좋을 정도로 멋진 사진을 찍었는데, 정말 완벽하네요. 그렇죠?"
03485,10s,긍정,"어제 친구들이랑 감성샷 찍으러 갔는데, 진짜 갓벽한 날씨에 갬성 폭발했어!","어제 친구들과 감성 사진을 찍으러 갔는데, 정말 완벽한 날씨에 감정이 폭발했어요!"
03486,20s,긍정,"오늘은 완소남이랑 감성샷 찍으러 가는데, 진짜 갓벽한 날씨야 ㅋㅋ","오늘은 아주 멋진 남자와 함께 감성적인 사진을 찍으러 가는데, 정말 완벽한 날씨예요."
03487,20s,긍정,"오늘 친구랑 카페에서 감성샷 남기고, ㅇㅈ이지 하면서 꿀잼 보냈어!","오늘 친구와 카페에서 감성적인 사진을 남기고, 정말 재밌게 보냈어요!"
03488,20s,긍정,"오늘 친구들이랑 랜선 모임 했는데, 꿀템 공유하고 감성샷 찍으니까 진짜 갓벽이더라!","오늘 친구들과 온라인 모임을 했는데, 좋은 아이템을 공유하고 감성 있는 사진을 찍으니 정말 완벽하더라!"
03489,20s,긍정,"어제 친구랑 랜선모임 했는데, 진짜 꿀잼이었어 ㅎㅎ","어제 친구와 온라인 모임을 했는데, 정말 재미있었습니다."
03490,20s,긍정,"어제 친구들 만나서 감성샷 여러 장 찍었는데, 진짜 갓생 살고 있는 기분이야~","어제 친구들을 만나서 감성적인 사진을 여러 장 찍었는데, 정말 행복한 기분이에요~"
03491,20s,긍정,"요즘 인스타에 감성샷 올리면 ㅇㅈ이지, 진짜 너도 나도 다 하는데!","요즘 인스타에 감성 사진을 올리면 인정이야, 진짜 너도 나도 다 하는데!"
03492,10s,긍정,"이번 주말에 친구들 만나서 감성샷 찍으러 가는데, 꿀잼 각이면 좋겠어!","이번 주말에 친구들과 만나서 감성 사진을 찍으러 가는데, 재미있었으면 좋겠어!"
03493,20s,긍정,"이번 시험은 진짜 갓생 위한 GG였어, 그냥 알차고 꿀템만 쏙쏙 담은 느낌이야.","이번 시험은 정말로 좋은 성적을 위한 수학 시험이었어, 그냥 알차고 유용한 것들만 쏙쏙 담은 느낌이야."
03494,20s,긍정,"오늘 강남에서 친구들이랑 감성샷 찍었는데, 진짜 꿀잼이었어! ㅇㅈ?","오늘 강남에서 친구들과 감성적으로 사진을 찍었는데, 정말 재미있었어. 그렇지?"
03495,10s,긍정,"이번 주말에 친구들 만나서 감성샷 찍으러 갈 건데, ㄴㅇㄱ? 완전 꿀템이야.","이번 주말에 친구들과 만나서 감성적인 사진을 찍으러 갈 건데, 너도 함께할래? 정말 좋은 아이템이야."
03496,20s,부정,요즘 갓벽한 인생샷 찍으러 감성샷 한 번 찍으러 갔는데 갑분싸라서 좀 우울했어.,요즘 완벽한 인생 사진을 찍으러 갔는데 분위기가 갑자기 싸해져서 조금 우울했어요.
03497,10s,긍정,"이번 주말에 친구들이랑 감성샷 찍으러 가기로 했는데, 완전 꿀잼일 것 같아!","이번 주말에 친구들과 함께 감성 사진을 찍으러 가기로 했는데, 정말 재미있을 것 같아요!"
03498,20s,부정,"오늘 인생샷 건졌는데, 갑분싸 되니까 너무 아쉽더라.","오늘 멋진 사진을 찍었는데, 분위기가 갑자기 나빠져서 정말 아쉬웠다."
03499,20s,긍정,"오늘은 감성샷 찍으러 카페 가는데, 갑분싸 되는 일 없기를 ㅇㅈ?","오늘 감성적인 사진을 찍으러 카페에 가는데, 갑자기 분위기 나빠지는 일은 없기를 동의해?"
03500,20s,긍정,오늘 친구들이랑 감성샷 찍고 꿀잼 영상 남겨서 인스타에 올렸더니 ㄴㅇㄱ으로 호응이 완전 대박이었어!,오늘 친구들과 감성적인 사진을 찍고 재미있는 영상을 남겨 인스타에 올렸더니 많은 사람들이 좋아해 주었어요!
03501,20s,긍정,이 영화 완전 갓벽이지? 진짜 내 인생 영화다 ㅎㅎ,이 영화 정말 완벽하죠? 진짜 제 인생 영화입니다.
03502,10s,긍정,"방금 갓벽한 감성샷 찍어서 인스타에 올렸더니, ㅇㅈ이지? 진짜 존맛탱이야!","방금 정말 완벽한 감성 사진을 찍어서 인스타그램에 올렸더니, 인정하지? 정말 맛있었어!"
03503,20s,긍정,"오늘 친구랑 인싸 모임 갔다가 꿀템 발견했는데, 진짜 갓벽했어!","오늘 친구와 함께 소셜 모임에 갔다가 좋은 아이템을 발견했는데, 정말 완벽했어!"
03504,10s,긍정,"오늘 학교에서 ㄴㅇㄱ한 썸녀랑 운 좋게 인생샷 찍었는데, 정말 미쳤다!","오늘 학교에서 우연히 좋아하는 여자와 멋진 사진을 찍었는데, 정말 좋았다!"
03505,20s,긍정,"어제 친구들이랑 랜선모임 하면서 꿀템 소개해줬는데, 진짜 갓벽했어!","어제 친구들과 온라인 모임을 하면서 좋은 물건을 소개해줬는데, 정말 완벽했어요!"
03506,20s,긍정,오늘 친구랑 카페 가서 감성샷 찍었는데 ㅇㅈ이지?,"오늘 친구와 카페에 가서 멋진 사진을 찍었는데, 공감되지 않나요?"
03507,20s,긍정,"이번 주 주말 대박났다, ㅇㅈ? 감성샷도 찍고, 꿀템 소식도 전할게!","이번 주말 정말 좋았어, 맞지? 감성적인 사진도 찍고, 좋은 물건 소식도 전할게!"
03508,20s,긍정,"이번 주말에 친구들이랑 혼술하면서 감성샷 찍으러 가기로 했어, 완전 꿀잼이겠다 ㅋㅋ.","이번 주말에 친구들과 함께 술을 마시며 감성 있는 사진을 찍으러 가기로 했어요, 정말 재미있을 것 같아요."
03509,20s,긍정,"오늘 나랑 감성샷 찍어줄 사람 ㅇㅈ? 진짜 존맛탱인 카페 발견했는데, 완소남이랑 가면 좋겠다!","오늘 나와 감성 사진 찍어줄 사람 있어? 정말 맛있는 카페를 발견했는데, 좋은 사람과 가면 좋을 것 같아!"
03510,20s,긍정,친구랑 카페 가서 감성샷 찍고 꿀잼 보냈어~ ㅋㅋ,친구와 카페에 가서 감성적인 사진을 찍고 재미있게 시간을 보냈어요.
03511,20s,부정,오늘도 혼밥하는데 고구마같은 기분이다 ㅠㅠ 나 혼자서 감성샷 찍어봤어.,오늘도 혼자 밥을 먹는데 기분이 좋지 않다 ㅠㅠ 혼자서 사진을 찍어봤다.
03512,20s,부정,"오늘 감성샷 찍으러 갔는데, 갑분싸 되서 완전 멘붕왔다.","오늘 감성 사진을 찍으러 갔는데, 분위기가 갑자기 이상해져서 완전히 혼란스러웠다."
03513,20s,긍정,"오늘은 감성샷 마치고 친구들과 랜선 모임 하려고 하는데, 기대된다 ㅎㅎ","오늘은 감성 사진을 찍고 친구들과 온라인 모임을 하려고 하는데, 기대된다."
03514,20s,긍정,"어제 친구들하고 감성샷 찍으러 간 날이었는데, 진짜 존맛탱 음식이 너무 많아서 나도 모르게 빡겜 모드로 촬영했어!","어제 친구들이랑 감성적인 사진을 찍으러 간 날이었는데, 정말 맛있는 음식이 많아서 나도 모르게 열심히 찍었어!"
03515,20s,긍정,오늘도 갓벽한 감성샷 찍고 인생영화 보려는데 ㅋㅋ 완벽해!,오늘도 완벽한 감성 사진을 찍고 인생 영화를 보려는데 정말 좋습니다!
03516,10s,긍정,주말에 친구들이랑 랜선모임 하면서 꿀잼 영상 찍었더니 감성폭발했어!,주말에 친구들과 온라인 모임을 하면서 재미있는 영상을 찍었더니 감정이 폭발했어요!
03517,20s,긍정,"오늘 수업에서 갑분싸 되는 순간 있었어, 진짜 ㅇㅈ? 너무 웃기더라.","오늘 수업에서 분위기가 갑자기 싸해지는 순간이 있었어, 정말 그렇지? 너무 웃기더라."
03518,20s,긍정,오늘 친구들이랑 감성샷 찍으러 갔는데 진짜 존맛탱인 음식 나와서 개이득이었어!,오늘 친구들과 감성적인 사진을 찍으러 갔는데 정말 맛있는 음식이 나와서 대단히 좋았어요!
03519,20s,긍정,이번 주말에는 혼영하면서 존맛탱 치킨 먹을 거니까 갑분띠네~,이번 주말에는 혼자서 영화를 보면서 아주 맛있는 치킨을 먹을 예정이니까 기대가 됩니다.
03520,10s,중립,"오늘은 다들 GG라는데, 나도 얼른 감성샷 찍고 싶다 ㅎㅎ.","오늘은 모두가 좋지 않다고 하는데, 나도 빨리 감성 있는 사진을 찍고 싶다."
03521,20s,긍정,"이 영화 진짜 미쳤다, 완전 인생영화 인정이지 ㅋㅋ","이 영화 정말 대단해, 완전 인생 영화라는 것을 인정해."
03522,20s,긍정,오늘 완소남이랑 감성샷 찍으러 간다니까 ㅇㅈ이지?!,"오늘 정말 멋진 친구와 감성적인 사진을 찍으러 간다고 하니, 정말 그렇지 않나요?"
03523,20s,부정,"아 너무 힘들어서 GG, 이거 완전 노답이다 진짜.","너무 힘들어서 진짜로 끝났다, 이건 정말 답이 없다."
03524,20s,긍정,"어제 밤에 친구랑 혼술하면서 꿀잼 영상 봤는데, 진짜 웃겨서 현타 왔어 ㅋㅋ","어제 밤에 친구와 혼자 술을 마시면서 재미있는 영상을 봤는데, 정말 웃겨서 정신이 혼미해졌어."
